Sex,Age,Height,Weight,NOC,Year,Season,City,Medal,Event
M,22,1.79,,BRN,2020,Summer,Tokyo,,Handball Men's Handball
F,20,,,EGY,2020,Summer,Tokyo,,Women's Artistic Swimming
M,33,1.87,,BRN,2020,Summer,Tokyo,,Handball Men's Handball
M,31,1.87,,BRN,2020,Summer,Tokyo,,Handball Men's Handball
F,26,,,DJI,2020,Summer,Tokyo,,Athletics Women's 100 metres
F,31,,,SOM,2020,Summer,Tokyo,,Boxing Women's Flyweight
F,18,1.59,,BUL,2020,Summer,Tokyo,,"Shooting Women's Air Rifle, 10 metres"
F,24,,,EOR,2020,Summer,Tokyo,,Women's Cycling Road
M,25,,,FRA,2020,Summer,Tokyo,,Boxing Men's Light-Welterweight
M,29,,,EOR,2020,Summer,Tokyo,,Judo Men's Extra-Lightweight
F,16,1.52,,AZE,2020,Summer,Tokyo,,Rhythmic Gymnastics Women's Group
F,31,1.62,,BRA,2020,Summer,Tokyo,,Football Women's Football
M,45,,,ROC,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
M,27,1.9,,KSA,2020,Summer,Tokyo,,Rowing Men's Lightweight Double Sculls
M,29,,,AZE,2020,Summer,Tokyo,Silver,"Wrestling Men's Light-Heavyweight, Greco-Roman"
M,23,,,AZE,2020,Summer,Tokyo,,Boxing Men's Light-Welterweight
M,27,,,BER,2020,Summer,Tokyo,,Rowing Men's Lightweight Double Sculls
F,22,,,EOR,2020,Summer,Tokyo,,Taekwondo Women's Flyweight
F,20,1.6,,IRQ,2020,Summer,Tokyo,,"Shooting Women's Air Rifle, 10 metres"
M,30,,,RSA,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,20,,,OMA,2020,Summer,Tokyo,,Weightlifting Men's Lightweight
M,26,,,JOR,2020,Summer,Tokyo,,Boxing Men's Light-Welterweight
M,23,,,KSA,2020,Summer,Tokyo,,Table Tennis Men's Team
M,23,1.66,,KSA,2020,Summer,Tokyo,,Football Men's Football
F,24,1.74,,BEL,2020,Summer,Tokyo,,Basketball Women's Basketball
F,28,1.88,,AUS,2020,Summer,Tokyo,,Basketball Women's Basketball
M,25,,,IRL,2020,Summer,Tokyo,,Men's Equestrian
M,26,,,USA,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,25,,,JAM,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,22,2.03,,USA,2020,Summer,Tokyo,Silver,Men's Baseball/Softball
M,21,,,GUY,2020,Summer,Tokyo,,Boxing Men's Light-Welterweight
M,25,,,EST,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
F,25,,,USA,2020,Summer,Tokyo,Gold,Athletics Women's 100 metres
M,19,1.71,,ARG,2020,Summer,Tokyo,,Football Men's Football
F,28,,,CUB,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,26,1.72,,BRN,2020,Summer,Tokyo,,Handball Men's Handball
M,23,,,GER,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,24,,,JOR,2020,Summer,Tokyo,Bronze,Men's Karate
M,17,,,UAE,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,22,1.78,,POR,2020,Summer,Tokyo,,Men's Cycling Road
F,24,,,BRA,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
F,32,1.72,,ANG,2020,Summer,Tokyo,,Handball Women's Handball
M,25,,,KUW,2020,Summer,Tokyo,,Men's Karate
M,52,,,KSA,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
M,23,1.76,,KSA,2020,Summer,Tokyo,,Football Men's Football
M,19,,,QAT,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,23,1.7,,KSA,2020,Summer,Tokyo,,Football Men's Football
F,25,,,ARG,2020,Summer,Tokyo,Silver,Hockey Women's Hockey
F,24,,,PAR,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
M,21,1.79,,ESP,2020,Summer,Tokyo,,Hockey Men's Hockey
F,16,,,PAR,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
M,36,,,TUN,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
